Timestamp,brand,Name,Price
2024-10-04 17:02:25,DIANA,ARROZ DIANA 500 G,$ 2.100
2024-10-04 17:02:34,ALBAR,ARROZ ECONÓMICO 2000 GRS,$ 7.000
